id,ts,temp
284,"2026-01-26 10:06:25",0.0
285,"2026-01-26 10:06:37",0.0
286,"2026-01-26 10:06:49",0.0
287,"2026-01-26 10:07:02",0.0
288,"2026-01-26 10:07:14",0.0
289,"2026-01-26 10:07:26",0.0
290,"2026-01-26 10:07:38",0.0
291,"2026-01-26 10:07:50",0.0
292,"2026-01-26 10:08:02",0.0
293,"2026-01-26 10:08:14",0.0
294,"2026-01-26 10:08:27",0.0
295,"2026-01-26 10:08:39",0.0
296,"2026-01-26 10:08:51",0.0
297,"2026-01-26 10:09:03",0.0
298,"2026-01-26 10:09:15",0.0
299,"2026-01-26 10:09:27",0.0
300,"2026-01-26 10:09:39",0.0
301,"2026-01-26 10:09:52",0.0
302,"2026-01-26 10:10:04",0.0
303,"2026-01-26 10:10:16",0.0
304,"2026-01-26 10:10:28",0.0
305,"2026-01-26 10:10:40",0.0
306,"2026-01-26 10:10:52",0.0
307,"2026-01-26 10:11:04",0.0
308,"2026-01-26 10:11:16",0.0
309,"2026-01-26 10:11:29",0.0
310,"2026-01-26 10:11:41",0.0
311,"2026-01-26 10:11:53",0.0
312,"2026-01-26 10:12:05",0.0
313,"2026-01-26 10:12:17",0.0
314,"2026-01-26 10:12:29",0.0
315,"2026-01-26 10:12:48",0.0
316,"2026-01-26 10:12:58",0.0
317,"2026-01-26 10:13:08",0.0
318,"2026-01-26 10:13:18",0.0
319,"2026-01-26 10:13:28",0.0
320,"2026-01-26 10:13:38",0.0
321,"2026-01-26 10:13:49",0.0
322,"2026-01-26 10:13:59",0.0
323,"2026-01-26 10:14:09",0.0
324,"2026-01-26 10:14:19",0.0
325,"2026-01-26 10:14:29",0.0
326,"2026-01-26 10:14:39",0.0
327,"2026-01-26 10:14:49",0.0
328,"2026-01-26 10:14:59",0.0
329,"2026-01-26 10:15:09",0.0
330,"2026-01-26 10:15:19",0.0
331,"2026-01-26 10:15:29",0.0
332,"2026-01-26 10:15:39",0.0
333,"2026-01-26 10:15:50",0.0
334,"2026-01-26 10:16:00",0.0
335,"2026-01-26 10:16:10",0.0
336,"2026-01-26 10:16:20",0.0
337,"2026-01-26 10:16:30",0.0
338,"2026-01-26 10:16:40",0.0
339,"2026-01-26 10:16:50",0.0
340,"2026-01-26 10:17:00",0.0
341,"2026-01-26 10:17:17",0.0
342,"2026-01-26 10:17:27",0.0
343,"2026-01-26 10:17:37",0.0
